b,continuity_recovery_rate,cross_platform_link_rate,false_negative_rate,link_rate_cross_platform_long,link_rate_cross_platform_short,link_rate_intra_platform_distant,link_rate_migration_consecutive,link_rate_post_migration_consecutive,link_rate_pre_migration_consecutive,mean_J_cross_platform_long,mean_J_cross_platform_short,mean_J_intra_platform_distant,mean_J_migration_consecutive,mean_J_post_migration_consecutive,mean_J_pre_migration_consecutive,migration_degradation,migration_link_rate,n_cross_platform_long,n_cross_platform_short,n_intra_platform_distant,n_migration_consecutive,n_post_migration_consecutive,n_pre_migration_consecutive,post_migration_recovery,r,seed,sweep_key,sweep_value
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.30625,0.525,0.771875,0.625,0.90625,0.925,0.4,0.0,30,5,20,1,5,5,0.4,16,36,invariant_ratio,0.6875
4,1.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,0.30625,0.525,0.771875,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,36,invariant_ratio,0.6875
8,1.0,0.6,0.0,0.0,0.6,1.0,1.0,1.0,1.0,0.30625,0.525,0.771875,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,36,invariant_ratio,0.6875
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30625,0.525,0.771875,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,36,invariant_ratio,0.6875
2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.26979166666666665,0.525,0.7515625,0.625,0.90625,0.925,0.5,0.0,30,5,20,1,5,5,0.2,16,37,invariant_ratio,0.6875
4,0.9,0.0,0.0,0.0,0.0,0.6,1.0,0.8,1.0,0.26979166666666665,0.525,0.7515625,0.625,0.90625,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,0.8,8,37,invariant_ratio,0.6875
8,1.0,1.0,0.0,0.1,1.0,0.8,1.0,1.0,1.0,0.26979166666666665,0.525,0.7515625,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,37,invariant_ratio,0.6875
16,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.26979166666666665,0.525,0.7515625,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,37,invariant_ratio,0.6875
2,0.4,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.8,0.3145833333333333,0.5375,0.75625,0.625,0.9,0.925,0.4,0.0,30,5,20,1,5,5,0.0,16,38,invariant_ratio,0.6875
4,1.0,0.0,0.0,0.0,0.0,0.65,1.0,1.0,1.0,0.3145833333333333,0.5375,0.75625,0.625,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,38,invariant_ratio,0.6875
8,1.0,1.0,0.0,0.1,1.0,0.95,1.0,1.0,1.0,0.3145833333333333,0.5375,0.75625,0.625,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,38,invariant_ratio,0.6875
16,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.3145833333333333,0.5375,0.75625,0.625,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,38,invariant_ratio,0.6875
2,0.4,0.0,0.0,0.0,0.0,0.05,1.0,0.6,0.2,0.3125,0.525,0.771875,0.625,0.9125,0.925,-0.6,1.0,30,5,20,1,5,5,0.6,16,39,invariant_ratio,0.6875
4,1.0,0.4,0.0,0.0,0.4,0.6,1.0,1.0,1.0,0.3125,0.525,0.771875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,39,invariant_ratio,0.6875
8,1.0,1.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,0.3125,0.525,0.771875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,39,invariant_ratio,0.6875
16,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.3125,0.525,0.771875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,39,invariant_ratio,0.6875
2,0.30000000000000004,0.0,1.0,0.0,0.0,0.05,0.0,0.2,0.4,0.45208333333333334,0.6625,0.76875,0.75,0.9125,0.925,0.30000000000000004,0.0,30,5,20,1,5,5,0.2,16,40,invariant_ratio,0.8
4,1.0,0.8,0.0,0.0,0.8,0.25,1.0,1.0,1.0,0.45208333333333334,0.6625,0.76875,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,40,invariant_ratio,0.8
8,1.0,1.0,0.0,0.26666666666666666,1.0,0.9,1.0,1.0,1.0,0.45208333333333334,0.6625,0.76875,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,40,invariant_ratio,0.8
16,1.0,1.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,0.45208333333333334,0.6625,0.76875,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,40,invariant_ratio,0.8
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.40625,0.65,0.75625,0.75,0.90625,0.925,0.4,0.0,30,5,20,1,5,5,0.4,16,41,invariant_ratio,0.8
4,1.0,0.6,0.0,0.0,0.6,0.55,1.0,1.0,1.0,0.40625,0.65,0.75625,0.75,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,41,invariant_ratio,0.8
8,1.0,1.0,0.0,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,0.40625,0.65,0.75625,0.75,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,41,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40625,0.65,0.75625,0.75,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,41,invariant_ratio,0.8
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4010416666666667,0.65,0.7453125,0.75,0.90625,0.925,0.4,0.0,30,5,20,1,5,5,0.2,16,42,invariant_ratio,0.8
4,0.9,0.8,0.0,0.03333333333333333,0.8,0.25,1.0,1.0,0.8,0.4010416666666667,0.65,0.7453125,0.75,0.90625,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,1.0,8,42,invariant_ratio,0.8
8,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.4010416666666667,0.65,0.7453125,0.75,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,42,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4010416666666667,0.65,0.7453125,0.75,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,42,invariant_ratio,0.8
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6,0.5125,0.6875,0.7875,0.75,0.9125,0.925,0.4,0.0,30,5,20,1,5,5,0.2,16,43,invariant_ratio,0.8
4,1.0,0.6,0.0,0.0,0.6,0.35,1.0,1.0,1.0,0.5125,0.6875,0.7875,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,43,invariant_ratio,0.8
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5125,0.6875,0.7875,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,43,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5125,0.6875,0.7875,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,43,invariant_ratio,0.8
2,0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.45625,0.65,0.7828125,0.75,0.91875,0.925,0.30000000000000004,0.0,30,5,20,1,5,5,0.2,16,44,invariant_ratio,0.8
4,1.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,0.45625,0.65,0.7828125,0.75,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,44,invariant_ratio,0.8
8,1.0,1.0,0.0,0.26666666666666666,1.0,0.95,1.0,1.0,1.0,0.45625,0.65,0.7828125,0.75,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,44,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45625,0.65,0.7828125,0.75,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,44,invariant_ratio,0.8
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.403125,0.65625,0.7453125,0.75,0.9,0.925,0.4,0.0,30,5,20,1,5,5,0.4,16,45,invariant_ratio,0.8
4,1.0,0.0,0.0,0.0,0.0,0.85,1.0,1.0,1.0,0.403125,0.65625,0.7453125,0.75,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,45,invariant_ratio,0.8
8,1.0,0.8,0.0,0.03333333333333333,0.8,0.95,1.0,1.0,1.0,0.403125,0.65625,0.7453125,0.75,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,45,invariant_ratio,0.8
16,1.0,1.0,0.0,0.9,1.0,1.0,1.0,1.0,1.0,0.403125,0.65625,0.7453125,0.75,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,45,invariant_ratio,0.8
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4375,0.65625,0.7578125,0.75,0.9125,0.925,0.4,0.0,30,5,20,1,5,5,0.2,16,46,invariant_ratio,0.8
4,1.0,0.8,0.0,0.0,0.8,0.15,1.0,1.0,1.0,0.4375,0.65625,0.7578125,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,46,invariant_ratio,0.8
8,1.0,1.0,0.0,0.36666666666666664,1.0,1.0,1.0,1.0,1.0,0.4375,0.65625,0.7578125,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,46,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.65625,0.7578125,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,46,invariant_ratio,0.8
2,0.6000000000000001,0.0,1.0,0.0,0.0,0.05,0.0,0.4,0.8,0.434375,0.65625,0.7703125,0.75,0.91875,0.925,0.6000000000000001,0.0,30,5,20,1,5,5,0.4,16,47,invariant_ratio,0.8
4,1.0,0.6,0.0,0.0,0.6,0.45,1.0,1.0,1.0,0.434375,0.65625,0.7703125,0.75,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,47,invariant_ratio,0.8
8,1.0,1.0,0.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,0.434375,0.65625,0.7703125,0.75,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,47,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.434375,0.65625,0.7703125,0.75,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,47,invariant_ratio,0.8
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4375,0.65625,0.7625,0.75,0.9125,0.925,0.4,0.0,30,5,20,1,5,5,0.4,16,48,invariant_ratio,0.8
4,1.0,0.8,0.0,0.03333333333333333,0.8,0.6,1.0,1.0,1.0,0.4375,0.65625,0.7625,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,48,invariant_ratio,0.8
8,1.0,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,0.4375,0.65625,0.7625,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,48,invariant_ratio,0.8
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.65625,0.7625,0.75,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,48,invariant_ratio,0.8
2,0.5,0.0,1.0,0.0,0.0,0.05,0.0,0.4,0.6,0.3875,0.65,0.79375,0.75,0.925,0.925,0.5,0.0,30,5,20,1,5,5,0.4,16,49,invariant_ratio,0.8
4,1.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,1.0,0.3875,0.65,0.79375,0.75,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,49,invariant_ratio,0.8
8,1.0,0.8,0.0,0.03333333333333333,0.8,1.0,1.0,1.0,1.0,0.3875,0.65,0.79375,0.75,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,49,invariant_ratio,0.8
16,1.0,1.0,0.0,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,0.3875,0.65,0.79375,0.75,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,49,invariant_ratio,0.8
2,0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5583333333333333,0.79375,0.7546875,0.875,0.9125,0.925,0.30000000000000004,0.0,30,5,20,1,5,5,0.2,16,50,invariant_ratio,0.95
4,1.0,0.2,0.0,0.0,0.2,0.45,1.0,1.0,1.0,0.5583333333333333,0.79375,0.7546875,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,50,invariant_ratio,0.95
8,1.0,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,0.5583333333333333,0.79375,0.7546875,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,50,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5583333333333333,0.79375,0.7546875,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,50,invariant_ratio,0.95
2,0.5,0.0,1.0,0.0,0.0,0.05,0.0,0.2,0.8,0.56875,0.8,0.7609375,0.875,0.9125,0.925,0.5,0.0,30,5,20,1,5,5,0.2,16,51,invariant_ratio,0.95
4,1.0,0.2,0.0,0.0,0.2,0.6,1.0,1.0,1.0,0.56875,0.8,0.7609375,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,51,invariant_ratio,0.95
8,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.56875,0.8,0.7609375,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,51,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56875,0.8,0.7609375,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,51,invariant_ratio,0.95
2,0.5,0.0,1.0,0.0,0.0,0.05,0.0,0.4,0.6,0.5239583333333333,0.775,0.7515625,0.875,0.90625,0.925,0.5,0.0,30,5,20,1,5,5,0.4,16,52,invariant_ratio,0.95
4,0.9,0.6,0.0,0.0,0.6,0.4,1.0,0.8,1.0,0.5239583333333333,0.775,0.7515625,0.875,0.90625,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,0.8,8,52,invariant_ratio,0.95
8,1.0,1.0,0.0,0.4,1.0,0.85,1.0,1.0,1.0,0.5239583333333333,0.775,0.7515625,0.875,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,52,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5239583333333333,0.775,0.7515625,0.875,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,52,invariant_ratio,0.95
2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.565625,0.79375,0.778125,0.875,0.925,0.925,0.2,0.0,30,5,20,1,5,5,0.2,16,53,invariant_ratio,0.95
4,1.0,0.8,0.0,0.03333333333333333,0.8,0.5,1.0,1.0,1.0,0.565625,0.79375,0.778125,0.875,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,53,invariant_ratio,0.95
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565625,0.79375,0.778125,0.875,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,53,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.565625,0.79375,0.778125,0.875,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,53,invariant_ratio,0.95
2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.5541666666666667,0.78125,0.7796875,0.875,0.91875,0.925,-0.8,1.0,30,5,20,1,5,5,0.2,16,54,invariant_ratio,0.95
4,1.0,0.6,0.0,0.0,0.6,0.4,1.0,1.0,1.0,0.5541666666666667,0.78125,0.7796875,0.875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,54,invariant_ratio,0.95
8,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.5541666666666667,0.78125,0.7796875,0.875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,54,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5541666666666667,0.78125,0.7796875,0.875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,54,invariant_ratio,0.95
2,0.4,0.0,1.0,0.0,0.0,0.05,0.0,0.6,0.2,0.5697916666666667,0.78125,0.75625,0.875,0.9125,0.925,0.4,0.0,30,5,20,1,5,5,0.6,16,55,invariant_ratio,0.95
4,0.9,0.2,0.0,0.0,0.2,0.2,1.0,0.8,1.0,0.5697916666666667,0.78125,0.75625,0.875,0.9125,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,0.8,8,55,invariant_ratio,0.95
8,1.0,1.0,0.0,0.8,1.0,0.95,1.0,1.0,1.0,0.5697916666666667,0.78125,0.75625,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,55,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5697916666666667,0.78125,0.75625,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,55,invariant_ratio,0.95
2,0.3,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.6,0.47708333333333336,0.775,0.75625,0.875,0.9125,0.925,0.3,0.0,30,5,20,1,5,5,0.0,16,56,invariant_ratio,0.95
4,0.9,0.0,0.0,0.0,0.0,0.3,1.0,1.0,0.8,0.47708333333333336,0.775,0.75625,0.875,0.9125,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,1.0,8,56,invariant_ratio,0.95
8,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.47708333333333336,0.775,0.75625,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,56,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47708333333333336,0.775,0.75625,0.875,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,56,invariant_ratio,0.95
2,0.5,0.0,1.0,0.0,0.0,0.05,0.0,0.6,0.4,0.5635416666666667,0.78125,0.7703125,0.875,0.91875,0.925,0.5,0.0,30,5,20,1,5,5,0.6,16,57,invariant_ratio,0.95
4,1.0,0.6,0.0,0.0,0.6,0.55,1.0,1.0,1.0,0.5635416666666667,0.78125,0.7703125,0.875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,57,invariant_ratio,0.95
8,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,0.5635416666666667,0.78125,0.7703125,0.875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,57,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5635416666666667,0.78125,0.7703125,0.875,0.91875,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,57,invariant_ratio,0.95
2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.5145833333333333,0.79375,0.7640625,0.875,0.925,0.925,0.5,0.0,30,5,20,1,5,5,0.4,16,58,invariant_ratio,0.95
4,0.9,0.4,0.0,0.0,0.4,0.25,1.0,1.0,0.8,0.5145833333333333,0.79375,0.7640625,0.875,0.925,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,1.0,8,58,invariant_ratio,0.95
8,1.0,1.0,0.0,0.13333333333333333,1.0,0.9,1.0,1.0,1.0,0.5145833333333333,0.79375,0.7640625,0.875,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,58,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5145833333333333,0.79375,0.7640625,0.875,0.925,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,58,invariant_ratio,0.95
2,0.4,0.0,1.0,0.0,0.0,0.05,0.0,0.2,0.6,0.575,0.78125,0.7546875,0.875,0.9,0.925,0.4,0.0,30,5,20,1,5,5,0.2,16,59,invariant_ratio,0.95
4,0.9,0.2,0.0,0.0,0.2,0.45,1.0,0.8,1.0,0.575,0.78125,0.7546875,0.875,0.9,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,0.8,8,59,invariant_ratio,0.95
8,1.0,1.0,0.0,0.06666666666666667,1.0,0.8,1.0,1.0,1.0,0.575,0.78125,0.7546875,0.875,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,59,invariant_ratio,0.95
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.575,0.78125,0.7546875,0.875,0.9,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,59,invariant_ratio,0.95
2,0.6000000000000001,0.0,1.0,0.0,0.0,0.1,0.0,0.4,0.8,0.328125,0.53125,0.7796875,0.625,0.9125,0.925,0.6000000000000001,0.0,30,5,20,1,5,5,0.4,16,60,perturbation_magnitude,0.0
4,1.0,0.0,1.0,0.0,0.0,0.75,0.0,1.0,1.0,0.328125,0.53125,0.7796875,0.625,0.9125,0.925,1.0,0.0,30,5,20,1,5,5,1.0,8,60,perturbation_magnitude,0.0
8,1.0,0.8,0.0,0.03333333333333333,0.8,1.0,1.0,1.0,1.0,0.328125,0.53125,0.7796875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,60,perturbation_magnitude,0.0
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.328125,0.53125,0.7796875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,60,perturbation_magnitude,0.0
2,0.6000000000000001,0.0,1.0,0.0,0.0,0.05,0.0,0.4,0.8,0.3020833333333333,0.53125,0.778125,0.625,0.9125,0.925,0.6000000000000001,0.0,30,5,20,1,5,5,0.4,16,61,perturbation_magnitude,0.0
4,1.0,0.2,0.0,0.0,0.2,0.75,1.0,1.0,1.0,0.3020833333333333,0.53125,0.778125,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,61,perturbation_magnitude,0.0
8,1.0,1.0,0.0,0.03333333333333333,1.0,1.0,1.0,1.0,1.0,0.3020833333333333,0.53125,0.778125,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,61,perturbation_magnitude,0.0
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3020833333333333,0.53125,0.778125,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,61,perturbation_magnitude,0.0
2,0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.3416666666666667,0.55,0.771875,0.625,0.9125,0.925,0.30000000000000004,0.0,30,5,20,1,5,5,0.2,16,62,perturbation_magnitude,0.0
4,1.0,0.0,0.0,0.0,0.0,0.55,1.0,1.0,1.0,0.3416666666666667,0.55,0.771875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,62,perturbation_magnitude,0.0
8,1.0,1.0,0.0,0.16666666666666666,1.0,0.9,1.0,1.0,1.0,0.3416666666666667,0.55,0.771875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,62,perturbation_magnitude,0.0
16,1.0,1.0,0.0,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,0.3416666666666667,0.55,0.771875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,62,perturbation_magnitude,0.0
2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.6,0.31979166666666664,0.525,0.7734375,0.625,0.90625,0.925,0.4,0.0,30,5,20,1,5,5,0.2,16,63,perturbation_magnitude,0.0
4,1.0,0.0,0.0,0.0,0.0,0.85,1.0,1.0,1.0,0.31979166666666664,0.525,0.7734375,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,63,perturbation_magnitude,0.0
8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.31979166666666664,0.525,0.7734375,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,63,perturbation_magnitude,0.0
16,1.0,1.0,0.0,0.8,1.0,1.0,1.0,1.0,1.0,0.31979166666666664,0.525,0.7734375,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,63,perturbation_magnitude,0.0
2,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.31145833333333334,0.525,0.76875,0.625,0.9125,0.925,0.3,0.0,30,5,20,1,5,5,0.0,16,64,perturbation_magnitude,0.0
4,1.0,0.0,1.0,0.0,0.0,0.55,0.0,1.0,1.0,0.31145833333333334,0.525,0.76875,0.625,0.9125,0.925,1.0,0.0,30,5,20,1,5,5,1.0,8,64,perturbation_magnitude,0.0
8,1.0,1.0,0.0,0.13333333333333333,1.0,1.0,1.0,1.0,1.0,0.31145833333333334,0.525,0.76875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,64,perturbation_magnitude,0.0
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31145833333333334,0.525,0.76875,0.625,0.9125,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,64,perturbation_magnitude,0.0
2,0.30000000000000004,0.0,1.0,0.0,0.0,0.05,0.0,0.2,0.4,0.34791666666666665,0.525,0.765625,0.625,0.90625,0.925,0.30000000000000004,0.0,30,5,20,1,5,5,0.2,16,65,perturbation_magnitude,0.0
4,1.0,0.4,0.0,0.0,0.4,0.85,1.0,1.0,1.0,0.34791666666666665,0.525,0.765625,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,8,65,perturbation_magnitude,0.0
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34791666666666665,0.525,0.765625,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,65,perturbation_magnitude,0.0
16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34791666666666665,0.525,0.765625,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,2,65,perturbation_magnitude,0.0
2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3614583333333333,0.54375,0.778125,0.625,0.90625,0.925,0.2,0.0,30,5,20,1,5,5,0.2,16,66,perturbation_magnitude,0.0
4,0.9,0.2,0.0,0.0,0.2,0.6,1.0,0.8,1.0,0.3614583333333333,0.54375,0.778125,0.625,0.90625,0.925,-0.09999999999999998,1.0,30,5,20,1,5,5,0.8,8,66,perturbation_magnitude,0.0
8,1.0,1.0,0.0,0.3,1.0,1.0,1.0,1.0,1.0,0.3614583333333333,0.54375,0.778125,0.625,0.90625,0.925,0.0,1.0,30,5,20,1,5,5,1.0,4,66,perturbation_magnitude,0.0
