fixture_id,timestep,tau,is_post_migration,jaccard,lsh_match,cosine,euclidean,b,r,n_steps,L,invariant_ratio,perturbation_magnitude,entropy_start,entropy_growth_rate,coord_start,coord_slope,seed
phase_ir6_eg4_0002,10,8,True,0.0,False,0.8866768101950845,0.04693333996457928,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,2
phase_ir6_eg4_0002,11,8,True,0.0,False,0.8946977595348886,0.04630277073674522,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,2
phase_ir6_eg4_0003,0,8,False,1.0,True,0.9999999999999999,1.0,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,1,8,False,0.78125,True,0.9830483852642133,0.3636251980777913,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,2,8,False,0.625,True,0.9601090213100033,0.216096345316161,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,3,8,False,0.46875,True,0.9486195208171844,0.1701715623620977,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,4,8,False,0.40625,True,0.9465304241028683,0.17103736937093095,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,5,8,False,0.40625,True,0.9535646870882093,0.18028335815859312,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,6,8,False,0.40625,True,0.946514111997369,0.15593424376756876,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,7,8,False,0.40625,True,0.939993258334541,0.11612917123201875,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,8,8,True,0.0,False,0.9233979668682323,0.074834365888177,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,9,8,True,0.0,False,0.9089037891044808,0.06916539225863712,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,10,8,True,0.0,False,0.8966292004159269,0.05831256571180989,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0003,11,8,True,0.0,False,0.8944707169304555,0.053705268067275304,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,3
phase_ir6_eg4_0004,0,8,False,1.0,True,1.0,1.0,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,1,8,False,0.8125,True,0.9793471567756447,0.33779100586483973,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,2,8,False,0.71875,True,0.9612794597101167,0.22828141722812043,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,3,8,False,0.65625,True,0.9367630662474025,0.14207354592240046,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,4,8,False,0.5625,True,0.9353121121052722,0.13013864334466338,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,5,8,False,0.5,True,0.9292296254431415,0.1200186277528692,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,6,8,False,0.4375,True,0.9157242587601565,0.09905172988373755,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,7,8,False,0.4375,True,0.8960980436336464,0.07271625990858906,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,8,8,True,0.03125,False,0.8995743034082535,0.061893352903962445,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,9,8,True,0.03125,False,0.8841056656221274,0.053435747823805425,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,10,8,True,0.03125,False,0.8870908771398492,0.0623426263407544,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
phase_ir6_eg4_0004,11,8,True,0.03125,False,0.8633950286144121,0.042291786256691166,8,4,12,32,0.6,0.2,2.1,0.4,0.12,0.074,4
hmap_ir8_pm5_0000,0,8,False,1.0,True,0.9999999999999999,1.0,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,1,8,False,0.71875,True,0.990972014815759,0.47946277595483955,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,2,8,False,0.65625,True,0.9827203329283214,0.36069933150843264,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,3,8,False,0.4375,True,0.9818189108181649,0.3475963259564409,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,4,8,False,0.375,True,0.9721042318694473,0.2574816479335004,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,5,8,False,0.3125,True,0.9636642769826252,0.2078348904974733,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,6,8,False,0.21875,True,0.9600357583248196,0.20223183026676475,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,7,8,False,0.21875,True,0.9587033710937676,0.18933417101311648,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,8,8,True,0.03125,False,0.9363035842579607,0.10707618415848899,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,9,8,True,0.03125,False,0.9417567181427214,0.1318135624870028,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,10,8,True,0.03125,False,0.9316180547065889,0.10660499419444207,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0000,11,8,True,0.0,False,0.9296955875294136,0.09530358672752241,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,0
hmap_ir8_pm5_0001,0,6,False,1.0,True,1.0,1.0,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,1,6,False,0.75,True,0.9946231715905557,0.5492845897921024,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,2,6,False,0.59375,True,0.9868914187861716,0.3952415383020393,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,3,6,False,0.5,True,0.98142997593784,0.3323532138785265,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,4,6,False,0.40625,True,0.976534227281306,0.289876061392584,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,5,6,False,0.34375,True,0.9690869018734544,0.23850400849772924,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,6,6,True,0.09375,False,0.9436373068428736,0.13840335516609184,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,7,6,True,0.09375,False,0.9344177415440282,0.1143240856580123,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,8,6,True,0.0625,False,0.9193951819230904,0.09166957355205965,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,9,6,True,0.0625,False,0.9153744479754398,0.09002386533667228,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,10,6,True,0.03125,False,0.9158467421410678,0.0885321099309338,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0001,11,6,True,0.03125,False,0.9117334922011827,0.07882861619077536,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,1
hmap_ir8_pm5_0002,0,8,False,1.0,True,1.0,1.0,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,1,8,False,0.71875,True,0.9943421628573874,0.5223673407377261,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,2,8,False,0.59375,True,0.9872136048172745,0.36269930419240076,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,3,8,False,0.46875,True,0.9855866425395694,0.3408531053401145,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,4,8,False,0.34375,True,0.9769753984545664,0.26244393057155674,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,5,8,False,0.3125,True,0.9652509147764529,0.18119694801677497,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,6,8,False,0.28125,True,0.9623760352246146,0.18048340685038855,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,7,8,False,0.25,True,0.9619432158752617,0.18457410793457432,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,8,8,True,0.03125,False,0.931005091935637,0.09680144719344687,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,9,8,True,0.03125,False,0.9220054457914922,0.08519970050029288,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,10,8,True,0.0,False,0.9130970268276242,0.07059038584828742,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0002,11,8,True,0.0,False,0.9100388190166182,0.06811355429958153,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,2
hmap_ir8_pm5_0003,0,8,False,1.0,True,1.0000000000000002,1.0,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,1,8,False,0.84375,True,0.9903410869164265,0.4679900191994308,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
hmap_ir8_pm5_0003,2,8,False,0.71875,True,0.9804179722532161,0.3367985632588604,8,4,12,32,0.8,0.5,2.1,0.243,0.12,0.074,3
