b,r,invariant_ratio,perturbation_magnitude,entropy_growth_rate,tau,mean_jaccard_at_migration,migration_shock_recovery,recovery_rate_stabilized,drift_decay,cosine_at_migration,cosine_stabilized,euclidean_at_migration,euclidean_stabilized
8,4,0.2,0.1,0.243,6,0.03125,0.0,0.0,0.0,0.9458481365314867,0.9336158134252677,0.19984083146250542,0.14656190152017046
8,4,0.2,0.1,0.243,8,0.0,0.0,0.0,0.0,0.9393157719593719,0.9251289617319353,0.13467621461326273,0.11163055386659529
8,4,0.2,0.2,0.0,6,0.0,0.0,0.0,0.0,0.9879527627032967,0.9816594279324189,0.46699039253645536,0.39144695925393413
8,4,0.2,0.2,0.0,8,0.015625,0.0,0.0,0.0,0.9853555128385452,0.9815702667146964,0.39785594939750973,0.3547365941691769
8,4,0.2,0.2,0.1,6,0.0,0.0,0.0,0.0,0.9694638601964557,0.9550670051844564,0.27239360079399577,0.1962806915338528
8,4,0.2,0.2,0.1,8,0.0,0.0,0.0,0.0,0.9668376902472736,0.9607209721695217,0.25071180404788773,0.210247841718117
8,4,0.2,0.2,0.2,6,0.03125,0.0,0.0,0.0,0.9551234977133718,0.9410194638413389,0.23227365196504213,0.169744923364482
8,4,0.2,0.2,0.2,8,0.0078125,0.0,0.0,0.0,0.9402822284063216,0.9227490169890322,0.15229596249267785,0.11073888831455594
8,4,0.2,0.2,0.243,8,0.0,0.0,0.0,0.0,0.9402069177013338,0.9223811149871266,0.10453227699197087,0.07225276582729631
8,4,0.2,0.2,0.3,6,0.0,0.0,0.0,0.0,0.9413309458226256,0.9232016784794881,0.17148798916419392,0.09599578108974398
8,4,0.2,0.2,0.3,8,0.0,0.0,0.0,0.0,0.9154348058992049,0.8937112647517158,0.10110149536652135,0.07727870427915824
8,4,0.2,0.2,0.4,6,0.0,0.0,0.0,0.0,0.9349772338646098,0.918469333744337,0.13809849426920778,0.09198781544492958
8,4,0.2,0.2,0.4,8,0.0,0.0,0.0,0.0,0.8649765888108717,0.8175381909565175,0.051631181274801395,0.029343608978447473
8,4,0.2,0.3,0.243,6,0.03125,0.0,0.0,0.0,0.9415871981608763,0.9234306825738254,0.1896969507724246,0.13087377229222671
8,4,0.2,0.3,0.243,8,0.0,0.0,0.0,0.0,0.9354735268048273,0.9205111230615102,0.12560523419938682,0.10102029380306095
8,4,0.2,0.5,0.243,6,0.03125,0.0,0.0,0.0,0.9307289395665204,0.9078591200294552,0.16466660080816434,0.10923689539784237
8,4,0.2,0.5,0.243,8,0.0,0.0,0.0,0.0,0.9273818274056163,0.9118185861278535,0.11020835437129381,0.08665246302844135
8,4,0.2,0.7,0.243,6,0.03125,0.0,0.0,0.0,0.9130078371424617,0.8870057155704182,0.13318601393390694,0.08650574201859704
8,4,0.2,0.7,0.243,8,0.0,0.0,0.0,0.0,0.915182710586947,0.8992514429244731,0.09151560976902791,0.07105886853324211
8,4,0.4,0.1,0.243,6,0.09375,0.0,0.0,0.0,0.9441368302177366,0.9036871923290849,0.16323478704284286,0.0905408529431761
8,4,0.4,0.1,0.243,8,0.0546875,0.0,0.0,0.0,0.9297671690235968,0.9193625804544954,0.11377928122994442,0.0982262422316626
8,4,0.4,0.2,0.0,6,0.21875,0.0,0.0,0.0,0.9873999374732296,0.9795598653614838,0.4628920059322066,0.374129165836915
8,4,0.4,0.2,0.0,8,0.109375,0.0,0.0,0.0,0.9884663525511921,0.9858130130979251,0.42242151106653003,0.3893101927440591
8,4,0.4,0.2,0.1,6,0.125,0.0,0.0,0.0,0.9602720244116384,0.952343509589667,0.2529626001256721,0.22061826229995865
8,4,0.4,0.2,0.1,8,0.0625,0.0,0.0,0.0,0.9779782381849996,0.968973671614466,0.28564330147564443,0.22932559846055747
8,4,0.4,0.2,0.2,6,0.09375,0.0,0.0,0.0,0.9592565774167013,0.9538337689307526,0.2254781385997809,0.21281570867443783
8,4,0.4,0.2,0.2,8,0.03125,0.0,0.0,0.0,0.9477526687924347,0.9321765046451855,0.15348344047276233,0.12276883160682706
8,4,0.4,0.2,0.243,6,0.09375,0.0,0.0,0.0,0.94220390173874,0.9039933402288317,0.16112219127451038,0.09294660338047651
8,4,0.4,0.2,0.3,6,0.0625,0.0,0.0,0.0,0.9489935522965558,0.924140527459905,0.2031217898486693,0.13758991173547072
8,4,0.4,0.2,0.3,8,0.0,0.0,0.0,0.0,0.9359897084876617,0.9171827283574535,0.10555471423864002,0.07266947647826257
8,4,0.4,0.2,0.4,6,0.0,0.0,0.0,0.0,0.9620003167878479,0.9253733032093258,0.15752148837162208,0.08043824163453629
8,4,0.4,0.2,0.4,8,0.0234375,0.0,0.0,0.0,0.9143741366042587,0.8883641645681265,0.07588616530518712,0.04328331076111934
8,4,0.4,0.3,0.243,6,0.09375,0.0,0.0,0.0,0.9389667787614523,0.9031640097702157,0.15564837442737853,0.09383859041122075
8,4,0.4,0.3,0.243,8,0.0546875,0.0,0.0,0.0,0.9261766303807213,0.9160747204537034,0.10669153715792826,0.0929120154957423
8,4,0.4,0.5,0.243,6,0.09375,0.0,0.0,0.0,0.9285209696939242,0.8979377086392148,0.13687196233950902,0.0909409124641907
8,4,0.4,0.5,0.243,8,0.0546875,0.0,0.0,0.0,0.9183982026294268,0.908856008534072,0.09355772721558236,0.08254951704588573
8,4,0.4,0.7,0.243,6,0.09375,0.0,0.0,0.0,0.9128454684597922,0.8878158240774908,0.11259299396673188,0.08261861338607723
8,4,0.4,0.7,0.243,8,0.0546875,0.0,0.0,0.0,0.906826154079895,0.8980548406525009,0.07754147665904268,0.06944957727087471
8,4,0.6,0.1,0.243,6,0.0625,0.0,0.0,0.0,0.9729221558631229,0.9525556644991575,0.21997781532886052,0.13064845509059306
8,4,0.6,0.1,0.243,8,0.0546875,0.0,0.0,0.0,0.9395464584514687,0.9266513806538219,0.1327041581691784,0.10759259213276831
8,4,0.6,0.2,0.0,6,0.3125,0.0,0.0,0.0,0.9899342311919748,0.9849795120093077,0.44407586286525924,0.3610925595225824
8,4,0.6,0.2,0.0,8,0.2421875,0.0,0.0,0.0,0.9872389696418961,0.9844115241120842,0.4165187981543039,0.38289180227757247
